add-none,1,10,20,191921,9596,0
add-none,1,20,40,170626,4265,0
add-none,1,40,80,209886,2623,0
add-none,1,80,160,176814,1105,0
add-none,1,100,200,245224,1226,0
add-none,1,1000,2000,207985,103,0
add-none,1,10000,20000,287438,14,0
add-none,1,100000,200000,952807,4,0
add-none,1,1000000,2000000,8099547,4,0
add-none,2,10,40,233919,5847,-3
add-none,2,20,80,254880,3186,0
add-none,2,40,160,277573,1734,0
add-none,2,80,320,248122,775,0
add-none,2,100,400,317909,794,2
add-none,2,1000,4000,334239,83,114
add-none,2,10000,40000,407075,10,-97
add-none,2,100000,400000,2079615,5,-59
add-none,2,1000000,4000000,40022364,10,-10507
add-none,4,10,80,294715,3683,2
add-none,4,20,160,340622,2128,-1
add-none,4,40,320,236839,740,0
add-none,4,80,640,185729,290,0
add-none,4,100,800,207441,259,3
add-none,4,1000,8000,341288,42,537
add-none,4,10000,80000,651797,8,-1327
add-none,4,100000,800000,6126926,7,-53118
add-none,4,1000000,8000000,60107619,7,-70754
add-none,8,10,160,434704,2716,0
add-none,8,20,320,268232,838,0
add-none,8,40,640,249679,390,0
add-none,8,80,1280,243857,190,8
add-none,8,100,1600,262435,164,0
add-none,8,1000,16000,250454,15,-16
add-none,8,10000,160000,1341621,8,3911
add-none,8,100000,1600000,13575162,8,105810
add-none,12,10,240,517046,2154,0
add-none,12,20,480,412775,859,0
add-none,12,40,960,377091,392,-5
add-none,12,80,1920,428091,222,0
add-none,12,100,2400,339434,141,12
add-none,12,1000,24000,342403,14,51
add-none,12,10000,240000,1857947,7,6554
add-none,12,100000,2400000,18253783,7,36161
add-yield-none,1,10,20,248013,12400,0
add-yield-none,1,20,40,291371,7284,0
add-yield-none,1,40,80,296297,3703,0
add-yield-none,1,80,160,246491,1540,0
add-yield-none,1,100,200,256195,1280,0
add-yield-none,1,1000,2000,1116117,558,0
add-yield-none,1,10000,20000,8350469,417,0
add-yield-none,1,100000,200000,81471654,407,0
add-yield-none,1,1000000,2000000,810827263,405,0
add-yield-none,2,10,40,257354,6433,9
add-yield-none,2,20,80,278516,3481,0
add-yield-none,2,40,160,323274,2020,18
add-yield-none,2,80,320,341826,1068,19
add-yield-none,2,100,400,355097,887,0
add-yield-none,2,1000,4000,1109758,277,10
add-yield-none,2,10000,40000,10625240,265,338
add-yield-none,2,100000,400000,96234646,240,-775
add-yield-none,2,1000000,4000000,845531534,211,8741
add-yield-none,4,10,80,306353,3829,-6
add-yield-none,4,20,160,296548,1853,14
add-yield-none,4,40,320,392344,1226,11
add-yield-none,4,80,640,359901,562,22
add-yield-none,4,100,800,385225,481,21
add-yield-none,4,1000,8000,1905694,238,182
add-yield-none,4,10000,80000,17609591,220,-2325
add-yield-none,4,100000,800000,110124067,137,-4632
add-yield-none,4,1000000,8000000,1041927316,130,-20121
add-yield-none,8,10,160,344287,2151,2
add-yield-none,8,20,320,376458,1176,61
add-yield-none,8,40,640,317564,496,65
add-yield-none,8,80,1280,520011,406,108
add-yield-none,8,100,1600,778277,486,46
add-yield-none,8,1000,16000,6032771,377,-198
add-yield-none,8,10000,160000,40054717,250,-3689
add-yield-none,8,100000,1600000,272538571,170,-67980
add-yield-none,12,10,240,597597,2489,0
add-yield-none,12,20,480,395840,824,62
add-yield-none,12,40,960,446755,465,141
add-yield-none,12,80,1920,668128,347,73
add-yield-none,12,100,2400,894788,372,117
add-yield-none,12,1000,24000,8979269,374,329
add-yield-none,12,10000,240000,58319942,242,-2638
add-yield-none,12,100000,2400000,571104666,237,-37748
add-yield-m,2,10000,40000,36204609,905,0
add-yield-m,4,10000,80000,74440127,930,0
add-yield-m,8,10000,160000,193950868,1212,0
add-yield-m,12,10000,240000,290346614,1209,0
add-yield-c,2,10000,40000,18687675,467,0
add-yield-c,4,10000,80000,44825420,560,0
add-yield-c,8,10000,160000,97462543,609,0
add-yield-c,12,10000,240000,203218970,846,0
add-yield-s,2,10000,40000,19148041,478,0
add-yield-s,4,10000,80000,49244145,615,0
add-yield-s,8,1000,16000,865867741,54116,0
add-yield-s,12,1000,24000,37096219535,1545675,0
add-m,1,10000,20000,774936,38,0
add-m,2,10000,40000,7937146,198,0
add-m,4,10000,80000,8574174,107,0
add-m,8,10000,160000,19030523,118,0
add-m,12,10000,240000,28678520,119,0
add-c,1,10000,20000,419622,20,0
add-c,2,10000,40000,1650031,41,0
add-c,4,10000,80000,3361698,42,0
add-c,8,10000,160000,12463491,77,0
add-c,12,10000,240000,16785348,69,0
add-s,1,10000,20000,430729,21,0
add-s,2,10000,40000,3015019,75,0
add-s,4,10000,80000,8665222,108,0
add-s,8,10000,160000,40011795,250,0
add-s,12,10000,240000,51196372,213,0
