list-none-none,1,10,1,30,156254,5208
list-none-none,1,100,1,300,275074,916
list-none-none,1,1000,1,3000,5128171,1709
list-none-none,1,10000,1,30000,694673494,23155
list-none-none,1,20000,1,60000,3501006493,58350
list-none-none,2,1,1,6,191407,31901
list-none-none,2,1000,1,6000,15003495,2500
list-none-none,4,1,1,12,307945,25662
list-none-none,8,1,1,24,256261,10677
list-none-none,8,10,1,240,226001,941
list-none-none,8,100,1,2400,637593,265
list-none-none,12,1,1,36,476820,13245
list-none-none,12,10,1,360,320219,889
list-none-none,12,100,1,3600,684921,190
list-i-none,2,1,1,6,164312,27385
list-i-none,2,2,1,12,244188,20349
list-i-none,2,8,1,48,196842,4100
list-i-none,2,16,1,96,297545,3099
list-i-none,2,32,1,192,426945,2223
list-i-none,4,1,1,12,236792,19732
list-i-none,4,2,1,24,239159,9964
list-i-none,4,4,1,48,218426,4550
list-i-none,4,8,1,96,216925,2259
list-i-none,8,1,1,24,278571,11607
list-i-none,8,2,1,48,204392,4258
list-i-none,8,4,1,96,212035,2208
list-i-none,8,8,1,192,257765,1342
list-i-none,8,16,1,384,569214,1482
list-i-none,12,4,1,144,312353,2169
list-i-none,12,8,1,288,291524,1012
list-d-none,2,1,1,6,159510,26585
list-d-none,2,2,1,12,889984,74165
list-d-none,2,4,1,24,330150,13756
list-d-none,2,8,1,48,140593,2929
list-d-none,2,16,1,96,162286,1690
list-d-none,2,32,1,192,170624,888
list-d-none,4,1,1,12,135957,11329
list-d-none,4,4,1,48,177458,3697
list-d-none,4,8,1,96,256326,2670
list-d-none,8,4,1,96,257191,2679
list-d-none,8,8,1,192,288321,1501
list-d-none,12,1,1,36,285237,7923
list-d-none,12,2,1,72,285159,3960
list-d-none,12,4,1,144,276436,1919
list-d-none,12,8,1,288,284943,989
list-il-none,2,1,1,6,113651,18941
list-il-none,2,2,1,12,181851,15154
list-il-none,2,4,1,24,138480,5770
list-il-none,2,16,1,96,390699,4069
list-il-none,2,32,1,192,479582,2497
list-il-none,4,1,1,12,186084,15507
list-il-none,4,2,1,24,206920,8621
list-il-none,4,8,1,96,234554,2443
list-il-none,4,16,1,192,188645,982
list-il-none,8,4,1,96,235050,2448
list-il-none,8,8,1,192,235851,1228
list-il-none,12,1,1,36,295598,8211
list-il-none,12,4,1,144,287302,1995
list-il-none,12,8,1,288,350905,1218
list-il-none,12,16,1,576,1036940,1800
list-dl-none,2,1,1,6,145371,24228
list-dl-none,2,2,1,12,108857,9071
list-dl-none,2,4,1,24,220789,9199
list-dl-none,2,8,1,48,210651,4388
list-dl-none,2,16,1,96,142103,1480
list-dl-none,2,32,1,192,171120,891
list-dl-none,4,1,1,12,248057,20671
list-dl-none,4,2,1,24,201738,8405
list-dl-none,4,4,1,48,1160270,24172
list-dl-none,8,1,1,24,235646,9818
list-dl-none,8,8,1,192,256506,1335
list-dl-none,12,1,1,36,261343,7259
list-dl-none,12,2,1,72,295806,4108
list-dl-none,12,4,1,144,292153,2028
list-i-m,12,32,1,1152,1671115,1450
list-d-m,12,32,1,1152,393813,341
list-il-m,12,32,1,1152,1612111,1399
list-dl-m,12,32,1,1152,600700,521
list-i-s,12,32,1,1152,27385464,23772
list-d-s,12,32,1,1152,14410480,12509
list-il-s,12,32,1,1152,52562462,45627
list-dl-s,12,32,1,1152,52776055,45812
list-none-m,1,1000,1,3000,4371320,1457
list-none-m,2,1000,1,6000,9525427,1587
list-none-m,4,1000,1,12000,22565433,1880
list-none-m,8,1000,1,24000,52298124,2179
list-none-m,12,1000,1,36000,72567674,2015
list-none-m,16,1000,1,48000,126793812,2641
list-none-m,24,1000,1,72000,178732552,2482
list-none-s,1,1000,1,3000,4479121,1493
list-none-s,2,1000,1,6000,13602275,2267
list-none-s,4,1000,1,12000,59666975,4972
list-none-s,8,1000,1,24000,179697861,7487
list-none-s,12,1000,1,36000,452982340,12582
list-none-s,16,1000,1,48000,786269718,16380
list-none-s,24,1000,1,72000,1658801912,23038
